_H:	$word	$phones
_D:	"a"	"'e_i%fag"
_D:	"a1"	"e_i.w_a_n%ac"
_D:	"aa"	"'ar.ar%a"
_D:	"aalii"	"ar.'l_i.y_i%a"
_D:	"aardvark"	"'ar_r_d.~v_ar_r_k%a"
_D:	"aardwolf"	"'ar_r_d.~w_u_ll_f%a"
_D:	"aaron"	"'e_uh_r.uh_n%a"
_D:	"aaronic"	"e_uh.'r_o.n_i_k%c"
_D:	"ab"	"aa_b%j"
_D:	"aba"	"'aa.b_a%a"
_D:	"abaca"	"~aa.b_uh.'k_ar%a"
_D:	"abaci"	"'aa_b.uh.~k_ah_i%j"
_D:	"abaciscus"	"~aa_b.uh.'s_i_s.k_uh_s%a"
_D:	"abacist"	"'aa_b.uh.s_i_s_t%a"
_D:	"aback"	"uh.'b_aa_k%db"
_D:	"abaculus"	"uh.'b_aa_k.y_uh.l_uh_s%a"
_D:	"abacus"	"'aa_b.uh.k_uh_s%a"
_D:	"abaft"	"uh.'b_aa_f_t%agd"
_D:	"abaised"	"uh.'b_e_i_s_t%c"
_D:	"abalone"	"~aa_b.uh.'l_uh_uu.n_i%a"
_D:	"abamp"	"'aa_b.~aa_m_p%a"
_D:	"abampere"	"aa_b.'aa_m.p_e_uh_r%a"
_D:	"abandon"	"uh.'b_aa_n.d_uh_n%ab"
_D:	"abandoned"	"uh.'b_aa_n.d_uh_n_d%c"
_D:	"abandonedly"	"uh.'b_aa_n.d_uh_n_d.l_i%d"
_D:	"abandoner"	"uh.'b_aa_n.d_uh.n_uh_r%ca"
_D:	"abaptiston"	"~aa_b.aa_p.'t_i_s.t_uh_n%a"
_D:	"abase"	"uh.'b_e_i_s%b"
_D:	"abased"	"uh.'b_e_i_s_t%cb"
_D:	"abash"	"uh.'b_aa_sh%b"
_D:	"abashedly"	"uh.'b_aa_sh.i_d.l_i%d"
_D:	"abasia"	"uh.'b_e_i.zh_uh%a"
_D:	"abatage"	"ar.b_uh.'t_ar_zh%a"
_D:	"abate"	"uh.'b_e_i_t%b"
_D:	"abatement"	"uh.'b_e_i_t.m_uh_n_t%a"
_D:	"abatic"	"uh.'b_aa_t.i_k%j"
_D:	"abatis"	"'aa_b.uh.~t_i%a"
_D:	"abatises"	"'aa_b.uh.~t_i_s.i_z%j"
_D:	"abatjour"	"aa.b_aa_t.'zh_uu_r%a"
_D:	"abato"	"aa.'b_aa.t_uh_uu%j"
_D:	"abattage"	"'aa.b_uh.'t_ar_zh%a"
_D:	"abattoir"	"~aa_b.uh.'t_w_ar_r%a"
_D:	"abaxial"	"aa_b.'aa_k.s_ee.uh_l%c"
_D:	"abb"	"aa_b%a"
_D:	"abba"	"aa.'b_a%a"
_D:	"abbacy"	"'aa_b.uh.s_i%a"
_D:	"abbatial"	"uh.'b_e_i.sh_uh_l%c"
_D:	"abbess"	"'aa_b.e_s%a"
_D:	"abbey"	"'aa_b.i%a"
_D:	"abbie"	"'aa.b_i%ca"
_D:	"abbington"	"'aa.b_i_ng.t_uh_n%j"
_D:	"abbot"	"'aa_b.uh_t%a"
_D:	"abbott"	"'aa.b_uh_t%a"
_D:	"abbreviate"	"uh.'b_r_ee.v_i.~e_i_t%b"
_D:	"abbreviated"	"uh.'b_r_ee.v_i.~e_i.t_i_d%b"
_D:	"abbreviation"	"uh.~b_r_ee.v_i.'e_i.sh_uh_n%a"
_D:	"abbwool"	"aa_b.w_u_l%j"
_D:	"abby"	"'aa.b_i%ca"
_D:	"abcoulomb"	"aa_b.'k_uu.l_o_m%a"
_D:	"abdicant"	"'aa_b.d_i.k_uh_n_t%ca"
_D:	"abdicate"	"'aa_b.d_i.~k_e_i_t%b"
_D:	"abdication"	"~aa_b.d_i.'k_e_i.sh_uh_n%a"
_D:	"abdicative"	"'aa_b.d_i.~k_e_i.t_i_v%c"
_D:	"abdomen"	"'aa_b.d_uh.m_uh_n%a"
_D:	"abdominal"	"aa_b.'d_o_m.i.n_uh_l%c"
_D:	"abdominous"	"aa_b.'d_o_m.i.n_uh_s%c"
_D:	"abduce"	"aa_b.'d_y_uu_s%b"
_D:	"abducens"	"aa_b.'d_y_uu.s_e_n_z%a"
_D:	"abducent"	"aa_b.'d_y_uu.s_uh_n_t%c"
